City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Pochutla,MX,88.12,broken clouds,15.7432,-96.4661,
16,Fare,PF,76.62,broken clouds,-16.7,-151.0167,
18,Balabac,PH,83.61,broken clouds,7.9868,117.0645,
19,Abu Samrah,SY,83.5,clear sky,35.3029,37.1841,
20,Cananea,MX,86.83,few clouds,30.95,-110.3,
22,Piombino,IT,79.45,overcast clouds,42.9348,10.5221,
27,Black River,JM,84.2,moderate rain,18.0264,-77.8487,
28,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,
29,Sioux Lookout,CA,75.58,broken clouds,50.1001,-91.917,
41,Tual,ID,81.46,few clouds,-5.6667,132.75,
42,Kapaa,US,82.38,light rain,22.0752,-159.319,
43,Muborak,UZ,84.4,clear sky,39.2553,65.1528,
49,Dan Khun Thot,TH,83.59,overcast clouds,15.2085,101.7714,
53,Atuona,PF,76.91,scattered clouds,-9.8,-139.0333,
61,Akyab,MM,80.02,overcast clouds,20.15,92.9,
63,Aklavik,CA,84.92,haze,68.2191,-135.0107,
66,Kahului,US,83.46,few clouds,20.8947,-156.47,
68,Thompson,CA,78.96,scattered clouds,55.7435,-97.8558,
71,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,
73,Carutapera,BR,78.13,broken clouds,-1.195,-46.02,
75,Sola,VU,75.29,overcast clouds,-13.8833,167.55,
81,Bandarbeyla,SO,80.15,clear sky,9.4942,50.8122,
82,Bafata,GW,75.04,light rain,12.1667,-14.75,
84,Albany,US,76.87,broken clouds,42.6001,-73.9662,
85,Georgetown,MY,76.95,few clouds,5.4112,100.3354,
99,Kuching,MY,75.42,few clouds,1.55,110.3333,
106,Hithadhoo,MV,80.98,moderate rain,-0.6,73.0833,
113,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,
114,Khromtau,KZ,77.27,scattered clouds,50.2503,58.4347,
115,Saltpond,GH,75.7,few clouds,5.2091,-1.0606,
116,Huilong,CN,79.99,clear sky,31.8111,121.655,
117,Seydi,TM,84.34,scattered clouds,39.4816,62.9137,
119,Fort Nelson,CA,81.99,clear sky,58.8053,-122.7002,
120,Vanimo,PG,76.68,light rain,-2.6741,141.3028,
123,Hambantota,LK,79.52,overcast clouds,6.1241,81.1185,
130,Sume,BR,75.38,overcast clouds,-7.6717,-36.88,
131,Floresta,BR,77.86,overcast clouds,-8.6011,-38.5686,
136,Butaritari,KI,83.01,few clouds,3.0707,172.7902,
138,Yellowknife,CA,86.32,clear sky,62.456,-114.3525,
146,Faanui,PF,77.22,broken clouds,-16.4833,-151.75,
148,Umm Lajj,SA,87.82,clear sky,25.0213,37.2685,
149,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,
