City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Inhambane,MZ,-23.865,35.3833,58.98,94,0,0.0,clear sky
1,Bereda,ES,43.2686,-7.5406,63.41,100,94,4.52,overcast clouds
2,Svetlogorsk,BY,52.6333,29.7333,71.91,69,87,4.81,overcast clouds
3,Nelson Bay,AU,-32.7167,152.15,55.99,85,99,8.59,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,61.52,79,27,26.62,scattered clouds
5,Vaini,TO,-21.2,-175.2,68.16,94,40,13.8,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,57,0,6.91,clear sky
7,Mocajuba,BR,-2.5842,-49.5072,90.28,47,31,2.48,scattered clouds
8,Bredasdorp,ZA,-34.5322,20.0403,56.52,72,90,6.91,overcast clouds
9,Nagornyy,RU,52.7959,83.5498,70.95,59,13,4.45,few clouds
10,Mataura,NZ,-46.1927,168.8643,39.47,98,60,3.91,broken clouds
11,Bluff,NZ,-46.6,168.3333,40.8,88,95,8.41,overcast clouds
12,Mahebourg,MU,-20.4081,57.7,70.09,83,75,13.8,light rain
13,Husavik,IS,66.0449,-17.3389,57.11,67,72,5.53,broken clouds
14,Pochutla,MX,15.7432,-96.4661,88.12,63,69,7.29,broken clouds
15,Tanout,NE,14.9709,8.8879,91.98,38,100,10.65,overcast clouds
16,Fare,PF,-16.7,-151.0167,76.62,70,82,13.38,broken clouds
17,Belaya Gora,RU,68.5333,146.4167,40.66,68,4,7.63,clear sky
18,Balabac,PH,7.9868,117.0645,83.61,76,78,15.46,broken clouds
19,Abu Samrah,SY,35.3029,37.1841,83.5,40,0,11.12,clear sky
20,Cananea,MX,30.95,-110.3,86.83,34,11,2.35,few clouds
21,Rikitea,PF,-23.1203,-134.9692,69.26,59,79,23.38,broken clouds
22,Piombino,IT,42.9348,10.5221,79.45,46,96,5.01,overcast clouds
23,Krasnoselkup,RU,65.7,82.4667,54.43,72,100,6.49,overcast clouds
24,Deputatskiy,RU,69.3,139.9,39.16,81,5,3.76,clear sky
25,New Norfolk,AU,-42.7826,147.0587,37.76,83,16,2.39,few clouds
26,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,13.8,scattered clouds
27,Black River,JM,18.0264,-77.8487,84.2,63,22,21.18,moderate rain
28,Puerto Ayora,EC,-0.7393,-90.3518,76.96,93,48,8.99,scattered clouds
29,Sioux Lookout,CA,50.1001,-91.917,75.58,43,75,6.91,broken clouds
30,Busselton,AU,-33.65,115.3333,51.85,77,86,7.34,overcast clouds
31,Paamiut,GL,61.994,-49.6678,47.95,89,100,6.13,light rain
32,Csemo,HU,47.118,19.6909,74.66,81,2,9.95,clear sky
33,Torbay,CA,47.6666,-52.7314,72.37,60,40,18.41,scattered clouds
34,Hermanus,ZA,-34.4187,19.2345,58.89,78,96,5.84,overcast clouds
35,Vestmanna,FO,62.1564,-7.1664,47.32,81,90,9.22,overcast clouds
36,Vostok,RU,46.4856,135.8833,60.39,96,5,4.14,clear sky
37,Uribia,CO,11.7139,-72.266,95.5,38,7,20.85,clear sky
38,Jamestown,US,42.097,-79.2353,71.02,83,75,1.99,broken clouds
39,Matay,EG,28.419,30.7792,93.99,13,0,9.37,clear sky
40,Preobrazheniye,RU,42.9019,133.9064,70.63,87,98,14.32,overcast clouds
41,Tual,ID,-5.6667,132.75,81.46,78,24,12.5,few clouds
42,Kapaa,US,22.0752,-159.319,82.38,79,75,3.0,light rain
43,Muborak,UZ,39.2553,65.1528,84.4,16,1,10.94,clear sky
44,Saint George,US,37.1041,-113.5841,95.43,32,1,1.99,clear sky
45,Kaitangata,NZ,-46.2817,169.8464,41.99,96,22,4.29,few clouds
46,Te Anau,NZ,-45.4167,167.7167,40.98,92,98,1.61,overcast clouds
47,Cidreira,BR,-30.1811,-50.2056,59.04,82,81,6.91,broken clouds
48,Port Shepstone,ZA,-30.7414,30.455,67.32,42,100,7.54,overcast clouds
49,Dan Khun Thot,TH,15.2085,101.7714,83.59,75,100,17.07,overcast clouds
50,Viedma,AR,-40.8135,-62.9967,59.05,34,1,17.58,clear sky
51,Hervey Bay,AU,-25.2986,152.8535,65.01,93,2,3.0,clear sky
52,Hobart,AU,-42.8794,147.3294,37.27,87,9,1.01,clear sky
53,Atuona,PF,-9.8,-139.0333,76.91,71,42,12.64,scattered clouds
54,Rio Grande,BR,-32.035,-52.0986,53.71,83,37,5.5,scattered clouds
55,Broome,US,42.2506,-75.833,70.77,83,90,1.99,light rain
56,Muros,ES,42.7762,-9.0603,65.08,93,100,5.57,overcast clouds
57,Omsukchan,RU,62.5333,155.8,34.18,100,100,7.78,light rain
